TransactionID,Amount,ReferenceNumber,Date,Description
7GNWHGJUN0LJ,943.59,REF-51386115,2025-05-14,payment
VWGFZKEKST5L,142.33,REF-04140763,2026-01-09,invoice
EXZQUF8U5T0E,348.28,REF-89619521,2025-02-22,deposit
BUX5YG0RAQBY,769.36,REF-84807068,2025-04-24,deposit
XJSJ5ODUVNGX,191.25,REF-76009710,2025-04-13,payment
RBAZVNLOHYJ2,527.41,REF-75736856,2025-01-31,invoice
HKGYECTHS6ET,552.38,REF-18113775,2025-07-06,deposit
XQZH23CORBAC,980.09,REF-60060563,2025-02-09,invoice
W6RMDSPTUBXV,280,REF-29724529,2025-10-04,invoice
GQE7LC5DX0DK,873.58,REF-56983008,2025-04-25,payment
9QYA6PGY9KBV,558.18,REF-09664624,2025-11-17,invoice
5YVE8ZXZFPAP,331.13,REF-51023946,2025-10-19,deposit
VSF1WMPOE7OM,387.75,REF-58153611,2025-09-14,deposit
XTMJTASQQHDZ,62.13,REF-19178720,2025-12-20,withdrawal
SKPSVGSMOOSQ,291.64,REF-00672879,2026-01-09,withdrawal
YOSFQNUYLMGO,307.43,REF-30960763,2025-11-22,invoice
7QOZ85ZNI83Q,210.62,REF-20410894,2025-06-11,invoice
DLX7YIJMNCYD,405.81,REF-01732072,2025-11-23,invoice
NGH4YLKNT98J,787.45,REF-90779535,2025-10-07,deposit
JUJ7DZVMNBBY,926.88,REF-87287612,2025-03-05,payment
JMSERPHTFLRY,855.34,REF-23399023,2025-03-02,invoice
BP44XWGGEMXM,118.19,REF-93978005,2025-03-20,invoice
FXSBZOGPDVJI,873.9,REF-06907853,2025-04-04,withdrawal
1P5P9YXWT6RA,663.04,REF-44885169,2025-10-01,payment
G2CBQPEQV1L5,212.24,REF-23346216,2025-02-19,invoice
COX9AARZPJF8,982.58,REF-33024262,2025-12-05,withdrawal
WYBXOZH2JXWQ,758.62,REF-99630283,2026-01-03,payment
TQ12OVMLCDOM,203.71,REF-43550471,2025-09-22,payment
KCSTCTBRXSF0,995.57,REF-65873127,2025-04-30,deposit
I9ID6ZLKO7SY,719.2,REF-97852597,2025-02-12,withdrawal
HGNULRZ4RCAB,547.7,REF-25456738,2026-01-13,invoice
ZOQKJONSXFWH,1.65,REF-55051415,2025-12-02,invoice
WDZ7FJXVRMGY,106.61,REF-73635078,2025-05-16,withdrawal
OP5GKQU0BTIC,321.49,REF-14234268,2025-09-28,deposit
ADGUPYSQFTOI,385.48,REF-90204092,2025-07-24,deposit
MGVKKYFVOSZF,989.3,REF-70044791,2025-05-04,withdrawal
ZDWXI5UC1V9W,473.27,REF-17592496,2025-09-29,payment
WO6DJJXIPB23,743.81,REF-31132143,2025-12-01,payment
CBTWAVBFGYPM,716.42,REF-07421130,2025-07-22,deposit
YAX8SNOEXRA4,377.62,REF-11523576,2025-12-14,invoice
1AYMGERIYSZK,554.01,REF-22802108,2025-08-30,withdrawal
XBK9VYMIYCZX,585.53,REF-98046451,2025-02-28,deposit
UELHEJG2P9W3,173.44,REF-17052804,2025-09-29,withdrawal
HJO0JFKQNWW4,471.8,REF-25222936,2025-02-27,payment
FVETK4CZXJAE,836.64,REF-44129936,2025-11-21,deposit
BGRWFFL6QFSS,834.46,REF-57704318,2025-09-01,withdrawal
EAQSMHZ8WXHV,867.43,REF-12063394,2025-09-28,payment
YSV73SXQ6MRS,686.77,REF-48218282,2025-06-16,invoice
5KGJ51FSHZNU,402.7,REF-63964493,2025-04-17,invoice
J8FN0XWULWLP,418.69,REF-89161834,2025-09-01,invoice
0GCCUUPA7RXJ,191.38,REF-60021093,2025-05-01,invoice
JKOFOLPFJZPS,97.98,REF-30140446,2025-11-11,deposit
CNTH3PNA0BGA,302.1,REF-44460817,2025-09-16,invoice
R47HHVJZOGVW,269.62,REF-19111519,2025-04-10,invoice
PWGBG9UNVM1M,273.5,REF-23786474,2025-12-12,deposit
WHB0OFN7AHL9,56.32,REF-06129905,2025-04-19,deposit
7ZTYM9HXPUBY,873.81,REF-33068289,2025-09-14,deposit
DB32BKHGRMGG,606.13,REF-49927441,2025-07-12,deposit
AGQL0EBWRFHO,187.16,REF-31371104,2025-08-06,deposit
DR25MUNEBBN1,967.6,REF-75529541,2025-05-14,deposit
QBEVLLILP1D9,898.1,REF-30526490,2025-03-08,payment
RRLKMD3DMNCK,125.74,REF-32741164,2025-11-20,payment
CUMWJUFUK5UI,648.09,REF-07577692,2025-07-12,payment
JVP79WH3JWJC,171.15,REF-96475799,2025-02-10,invoice
XR3LXMGH6020,415.95,REF-71037069,2025-10-11,payment
O0PR3JVJIQ26,267.45,REF-20005739,2025-03-22,deposit
S4VQZTONEY6V,685.55,REF-69684679,2026-01-18,deposit
IUZMEFYGSWSG,979.43,REF-23453522,2025-04-25,deposit
MAO48CWYIUNC,781.85,REF-95122660,2025-08-13,payment
OHI5DCS6WZLC,581.83,REF-94689412,2025-11-28,deposit
WCDR15ALKEUS,990.47,REF-27302569,2025-03-07,invoice
LYKED5DJHPMS,519.12,REF-99908489,2025-12-08,deposit
SX0CGS8ZOWNS,249.05,REF-69721393,2025-09-03,deposit
RUXN0I4QYRPW,877.8,REF-89293750,2025-04-12,invoice
A8NQASUS4R3Y,221.87,REF-65312767,2025-12-18,deposit
LYIBRVVJEENB,483.53,REF-73464995,2025-09-02,payment
BLXB0HBE3GVN,154.46,REF-30064010,2025-02-07,withdrawal
J5TQ7K7OQKK7,711.29,REF-46768433,2025-12-16,payment
UEUK79SHPOGI,717.68,REF-96984252,2025-09-11,payment
RQKDH7SPBCP7,526.52,REF-82058986,2025-03-31,payment
OQE6OAJXEHMR,159.13,REF-63724659,2025-01-26,deposit
VKIG6OVWIYSS,762.33,REF-24141456,2025-02-27,invoice
NRC0H2LUB1LX,793.39,REF-41246664,2025-07-09,invoice
1DOH9QXEOYEH,361.24,REF-92636365,2025-03-29,payment
RP8TBMD7YPXM,972.7,REF-57676586,2025-07-02,invoice
N79UBIT0XQ9S,166.55,REF-04759865,2025-02-23,invoice
D3W0DOB6I5Q8,849.54,REF-68885292,2025-08-18,payment
H5GWMOEEE96T,524.97,REF-19470265,2025-03-03,invoice
PPUCGBAUKOU5,677.83,REF-13878712,2025-07-17,deposit
CG8DHPMFQHKA,648.18,REF-01510798,2025-05-18,deposit
1UTTLTV7GUKW,511.14,REF-49552259,2025-04-20,deposit
7E8IAD99YBJN,990.45,REF-34724197,2026-01-07,invoice
Z9PDWTF9LJM0,546.2,REF-99592904,2025-09-28,invoice
CNWJGDMCQVYH,290.82,REF-04122154,2025-02-24,payment
YWCWRDET3UWT,951.56,REF-41690656,2025-09-24,payment
0WUTMO7XYNSN,884.31,REF-24665653,2025-09-10,deposit
EF50HYVFDEXF,813.93,REF-81784999,2025-06-16,invoice
VXQLSGBAZ8NB,293.26,REF-02877604,2025-04-08,withdrawal
WOBUBEAPXQIL,837.67,REF-93509433,2025-09-30,deposit
QQONIVY3SVVZ,860.93,REF-11698159,2025-08-16,payment
WZXJTPZ6HGT8,921.01,REF-84292836,2026-01-14,withdrawal
T0ZRBI6ALP5Q,373.71,REF-35367291,2025-07-15,deposit
R0ISPDTLUUV1,237.87,REF-30755199,2025-06-30,withdrawal
JNAMEVU4DFPX,685.85,REF-63141335,2025-05-23,payment
EG96YBJDAX8A,373.25,REF-99728569,2025-05-24,payment
WXDZXRQR0JSQ,785.3,REF-68258462,2025-08-28,payment
FIYOPEUBMPQM,986.76,REF-16892127,2025-11-04,withdrawal
72WBBDKRGOS6,566.45,REF-48626627,2025-11-06,withdrawal
OFCCQAJ2FTLM,100.32,REF-48064755,2025-06-24,deposit
0HORQQWC3QRY,859.42,REF-15574057,2025-06-30,deposit
YJSJERN9EQSX,276.38,REF-38418527,2025-07-03,invoice
9VO3KMIGXCBH,591.72,REF-33732287,2025-10-14,withdrawal
FSWMWHNWPUI9,583.66,REF-99830033,2025-02-17,payment
TWHVCJEVWQGC,685.81,REF-57902269,2025-12-04,invoice
K67VMQBD1NTY,830.55,REF-24729721,2025-06-13,invoice
B19BGP4OEPZT,890.5,REF-80380205,2026-01-14,invoice
ZCTU5DDZDPQE,413.49,REF-68411540,2025-09-06,withdrawal
KL6BPCJOVJ7X,32.44,REF-99712896,2025-11-13,deposit
2JN0JMKHRTPE,446.04,REF-76526291,2025-09-23,invoice
O4KYXHGF1XKZ,616.7,REF-72319219,2025-12-15,withdrawal
FXWYN8AZXGAN,507.28,REF-54548435,2025-04-12,invoice
GRRVXMYLKKJT,332.42,REF-29285882,2025-03-13,withdrawal
VEMXY5AKMASX,733.98,REF-70562192,2025-09-16,invoice
SHJPN7PINEUW,121.1,REF-90285684,2025-07-21,payment
PADRVXBBIEAR,381.08,REF-38143837,2025-07-01,payment
P2XT6IIAYT1C,985.53,REF-39476315,2025-03-17,withdrawal
BVTWS8VA14UC,365.44,REF-87031642,2025-04-24,invoice
UAOSGEEFT21H,721.58,REF-05202365,2025-09-06,withdrawal
QRVY2X519NSY,686.53,REF-97746311,2025-04-03,payment
CFKRN3KGEZXH,507.95,REF-09290645,2025-02-14,payment
GOBMW5TR6C0S,466.46,REF-96864588,2025-06-25,payment
MUCJQ671GAJA,734.41,REF-03150826,2025-12-03,invoice
H8AQRW7SAN4K,736.52,REF-00805958,2025-04-15,deposit
LD0UJRER9XM1,487.49,REF-29005030,2025-07-14,invoice
5XP2VMNABSNT,520.78,REF-66562269,2025-07-24,withdrawal
CTRMEY8HOINA,485.64,REF-74581086,2025-05-10,withdrawal
PG6ANYMVBP2T,959.08,REF-85989204,2025-05-11,withdrawal
QFX0NGYKZEFE,756.75,REF-54446910,2025-11-10,deposit
6IZLCIKMPZFG,520.12,REF-43811270,2025-08-30,payment
CUSYIQE5BUVP,857.12,REF-50841100,2025-12-20,invoice
XBHD3VCY4NIM,181.83,REF-52631212,2025-05-17,payment
2DGZB2KGYVXV,760.68,REF-35089210,2025-03-19,payment
MRK4MU45NZEI,552.18,REF-25837433,2025-07-16,payment
BSJ4CDBGWOKR,12.7,REF-61373404,2025-11-09,deposit
XQIJBCQAQHEP,595.26,REF-95417208,2025-12-03,payment
JYARTJCBEM4X,817.36,REF-69094254,2025-05-11,payment
G43XBMUSSBB8,388.28,REF-29240649,2025-04-06,payment
RRUEJ0TTHF2W,93.5,REF-58205681,2025-09-14,withdrawal
H2UOU16EH4KV,444.07,REF-54914578,2025-02-26,withdrawal
AMXZJ9EZGBSC,465.31,REF-38549535,2025-04-04,deposit
TXT9SQOO5IG5,136.5,REF-98037351,2025-06-05,invoice
NP3DRLAWW1OY,105.49,REF-10509989,2025-09-15,withdrawal
8UBXUYCLTPR8,44.78,REF-32409601,2025-10-24,withdrawal
1DZJOBE2IXK6,844.18,REF-90588191,2025-07-02,deposit
W9HGT5PHUYZM,105.69,REF-90027389,2026-01-21,withdrawal
RFRG972ITBNV,504.67,REF-39759201,2025-10-06,invoice
OJJJQLZBXPAY,244.88,REF-00373527,2025-03-07,invoice
SQB8GJCUKH7Y,749.57,REF-96904869,2025-03-15,withdrawal
YXEDSHU96CPI,884.95,REF-11444992,2025-12-04,withdrawal
DHCMQCC36S8L,709.95,REF-36433835,2025-10-27,withdrawal
O4MJMMK7VCAS,358.63,REF-94831155,2025-11-20,invoice
TUZI6MWXI1NL,496.35,REF-24285842,2025-05-01,withdrawal
NACZ1FNFQIX8,292.02,REF-08453455,2025-09-14,payment
ADFRKIJPICFR,446.85,REF-43818413,2026-01-04,invoice
X0IMFIW9VU4F,34.7,REF-00216056,2025-12-25,deposit
J3JJHTE96EOG,681.81,REF-28793073,2025-05-07,deposit
NRHGC2W8BROW,816.49,REF-71786539,2025-08-08,deposit
E1TO9M6JHWXC,874.41,REF-37386884,2025-06-10,withdrawal
MJZ9JKDEF1FW,66.41,REF-52783627,2025-04-21,deposit
TQCIIHZBAAFT,835.89,REF-62871900,2025-02-26,payment
Y2WIGOEFLB4R,175.78,REF-86245313,2025-05-19,deposit
UNIF3NYCRKYG,95.29,REF-92953333,2025-10-13,deposit
PTUFFE8GVTQA,422.56,REF-44649365,2025-04-12,payment
NTIRDQURJYXD,201.23,REF-94536936,2025-12-01,payment
BOFSEUIOSJAR,33.53,REF-64765615,2025-03-22,deposit
8EMFJ30DWD8D,613.32,REF-67214116,2025-02-02,withdrawal
JETK5ZGFAQXK,587.25,REF-66677781,2025-09-02,deposit
QYQWSUOFCTHI,633.79,REF-03028043,2025-08-18,payment
H78QWNQG8YAU,510.29,REF-71321401,2025-09-15,invoice
ONL6RHFLSTK0,985.8,REF-69936819,2026-01-08,deposit
R7RL28PLGA7Y,579.65,REF-93913002,2025-04-17,withdrawal
CH3KEIPJGLSX,248.5,REF-29360096,2025-04-04,payment
XJQHWKD2BOCD,431.16,REF-20240231,2025-04-07,deposit
GF5KAIBRYVP7,94.24,REF-58621326,2025-08-16,withdrawal
NNJ8KSYHK2EH,512.15,REF-90197036,2025-04-30,withdrawal
IKSX4YCZG08X,699.07,REF-44736750,2025-04-21,payment
EDKXY8F5GDVW,111.13,REF-34311160,2025-05-31,payment
UJAK79IEZLWH,916.42,REF-58653544,2025-04-29,deposit
QIRWE3JT9IHF,797.26,REF-17450504,2026-01-14,deposit
DUHZH3TYJUFN,975.28,REF-38895136,2025-06-21,withdrawal
GZCKCCOXBXAU,469.31,REF-17727366,2025-02-26,payment
CXTBEJ2IYYTA,15.27,REF-02145384,2026-01-23,invoice
LWXEUMZXUUBD,79.77,REF-90611767,2026-01-23,invoice
MTD5R61N9I4I,272.08,REF-46964688,2025-12-06,invoice
RI9GUUARPA6G,246.63,REF-50199118,2025-02-21,payment
W6B8DFSSVYAS,821.98,REF-02074318,2025-04-10,invoice
KK9OPM2Y9LQT,572.8,REF-58940869,2026-01-14,withdrawal
LKPJJZSJ18OB,737.63,REF-61384086,2025-06-18,payment
EM7SVF5JHXWA,575.08,REF-06206306,2025-05-23,payment
2MRUY2AO5N1T,127.5,REF-19583164,2025-08-29,invoice
YQPFR57JECUI,393.92,REF-32077607,2025-02-08,deposit
FHDVEI3PAAQ6,946.3,REF-61511511,2025-05-06,invoice
IWGD0ZI6APGV,929.63,REF-34180668,2025-03-25,payment
7UM8B6RVNM1L,926.42,REF-51316622,2025-07-05,invoice
CB7WFWPKZ6XP,961.94,REF-19214522,2025-11-21,invoice
JPGSX48HOSXH,426.73,REF-58381008,2025-09-04,payment
XNSNYCXDQNHA,369.19,REF-46518106,2025-08-20,deposit
ORZ1T13LS5WT,667.18,REF-28285156,2025-04-17,withdrawal
HVQI6ANW2PVV,711.97,REF-87961014,2025-12-22,payment
AGTUJUKJZRDX,396.19,REF-76858087,2026-01-09,invoice
DBGYSF0RVYIA,815.9,REF-04049802,2025-05-26,deposit
BUSBSQCHRKD6,693.89,REF-62213584,2025-09-28,payment
1XM5MA5PG2MT,49.56,REF-48523345,2025-06-27,invoice
BWLF9INV7PTC,820.03,REF-08967844,2025-03-02,withdrawal
3HURMY4KEX39,95.63,REF-00171786,2025-03-05,payment
BEWVEB3A8QJH,742.89,REF-32839309,2025-08-05,payment
X5UCHGYKNPIE,374.39,REF-83415629,2025-04-05,deposit
AFUMYZWL6RXB,392.11,REF-62546327,2025-12-27,invoice
CC7GRAK8BGNK,812.9,REF-22048030,2025-12-02,payment
R6S0JPV74LGH,381.7,REF-73769906,2025-07-06,deposit
BGG4RQCSAZ4B,518.12,REF-85156777,2025-09-02,invoice
UP6SAIUUJSJ3,611.17,REF-65079310,2025-03-03,deposit
JUYADRWCIU5D,479.37,REF-99034651,2025-06-29,payment
QR5DWXSAGKSH,15.75,REF-62091622,2025-02-22,deposit
PV1VHSADIOAJ,592.79,REF-38385975,2025-12-13,withdrawal
2JVRKMNCZKFW,530.64,REF-20730795,2025-04-09,invoice
NAJBIP9OTWF6,129.05,REF-87010531,2025-03-06,deposit
6ICQXP2Q2EDW,948.44,REF-37289228,2025-09-04,payment
JOA33SQHT1RM,165.46,REF-27728277,2025-04-05,deposit
3Y3HHCMXPWKX,370.38,REF-41584293,2025-06-30,invoice
NVAOFPNBKXDT,863.09,REF-68966248,2025-10-09,deposit
MHPFIORN2TSL,671.56,REF-57094059,2025-10-27,payment
VPFFDVSFOWYG,574.07,REF-26160814,2025-08-02,withdrawal
RCXHNGU17DB1,38.18,REF-17414215,2025-06-15,withdrawal
GPDF6JCWA7ZZ,163.66,REF-60413901,2025-07-19,payment
RMIHIZ9TXYIG,391.37,REF-99655354,2025-06-18,invoice
IQBSD6U2YJE6,801.58,REF-73753168,2025-02-07,deposit
SCMMR6UZFFYD,732,REF-14198614,2025-02-20,invoice
RX5UVWPCKPBM,203.21,REF-51088276,2025-10-30,deposit
M5BQHNXDCUDV,759.45,REF-84548614,2025-03-21,payment
RLBWMEH09Y6U,491.88,REF-54851318,2025-11-02,deposit
OHTIYG7WA3GK,306.11,REF-73253616,2025-12-13,payment
MDHJKQ3BL8EM,814.67,REF-19064426,2026-01-12,payment
X3VSNKUDVTYW,620.97,REF-58372086,2025-09-25,withdrawal
8BGGVDRCBWFZ,468.31,REF-52572670,2025-09-10,payment
M3U1PRN6NEYN,827.8,REF-65755909,2025-08-05,payment
BHFZ70VFEV14,213.36,REF-00073639,2025-04-02,withdrawal
9BWD8PTKPPDK,818.75,REF-67773365,2025-12-17,deposit
3AU7WLZOO3PQ,854.92,REF-59487799,2025-05-09,deposit
JTQ3IL8DREHZ,336.22,REF-51983345,2025-12-28,deposit
1HV348AEG8TM,442.68,REF-08870323,2025-02-01,invoice
6CSSXKF1GMFO,567.79,REF-66327927,2025-06-03,invoice
UQAEKNBDNIVH,837.29,REF-40256572,2025-07-22,payment
TY7DFIIVNSWL,560.01,REF-76247955,2026-01-02,withdrawal
SX4GHKWE5DGY,250.74,REF-48541488,2025-04-09,deposit
WXDOLWANMSJS,437.25,REF-52572188,2025-11-19,invoice
RKZIQWDKU0IT,10.99,REF-35334065,2025-10-13,invoice
GNPPBYYXGUKE,110.32,REF-16627329,2025-08-24,invoice
D5JS9CYJLGAR,66.99,REF-71678447,2025-03-07,invoice
28429NN4DGFF,494.47,REF-57094550,2025-10-25,deposit
YNF5COEXUGTY,38.97,REF-11390184,2026-01-05,deposit
JU0O2VYXVHBD,990.2,REF-63482898,2025-05-30,invoice
HPKLSBK1KFDY,28.39,REF-10597099,2025-12-20,withdrawal
BPTDWEUJHXUJ,550.17,REF-49402993,2025-03-19,deposit
UU2AADEMLSPO,316.78,REF-90634853,2025-12-14,payment
FUTZPEUXFMOI,669.77,REF-29587271,2025-02-10,deposit
XXNS4ISOO517,624.54,REF-04865648,2025-07-14,invoice
SRNYE1JXGH37,16.31,REF-50369749,2025-06-13,deposit
N7NJJGTRRY4K,122.6,REF-14895796,2025-10-01,deposit
NTGZB5L9ABGE,449.01,REF-00035494,2025-03-03,payment
NU9LV9PY8ZE5,941.36,REF-07251465,2025-05-12,withdrawal
L29LKIVMPIVC,304.04,REF-16015854,2025-11-27,invoice
YWXJDPJZY34O,884.41,REF-50923299,2025-06-15,invoice
IALXQHYQN9XT,123.15,REF-99192040,2025-07-19,invoice
A65YSINDXQQN,436.22,REF-32511376,2025-04-17,invoice
VWWMOZGVXL1T,883.69,REF-35238480,2025-06-09,deposit
D51AGXPA5AP2,375.22,REF-19615870,2025-11-12,deposit
IO3FYFYWGQJV,108.47,REF-78601674,2025-12-14,deposit
PCAS6NZXKR7U,800.51,REF-30869641,2025-02-08,payment
UETFP1QDYEQR,760.78,REF-68653599,2025-05-22,deposit
B3T76YRT0Y05,54.44,REF-49746810,2025-08-08,payment
UJUJRFUS4UW1,135.36,REF-75010097,2025-02-27,deposit
JFHMWVLWJYGZ,768.29,REF-99561283,2025-08-25,deposit
UAUWJ9PLNH3B,734.2,REF-29948161,2025-10-19,withdrawal
ESYDNPK8EP6B,951.23,REF-28752905,2026-01-03,withdrawal
PINA5RMEEJKB,498.54,REF-84116849,2025-12-16,withdrawal
TPLMS9LQPCEI,801.98,REF-79454315,2025-02-27,payment
OAN8UFZ9X6J2,917.84,REF-94613752,2025-08-23,invoice
ZMQRDELLHJ7Y,444.73,REF-77708461,2025-06-29,payment
IQR5TSRETW6W,223.73,REF-52179898,2025-03-18,invoice
C98CLFZRDNWQ,547.44,REF-35609657,2026-01-06,payment
R7D3QCSSINGV,942.41,REF-61684594,2025-03-09,payment
7X1RMDAFFQ85,213.22,REF-71681540,2025-10-17,deposit
BZR9K7QPLHPX,242.9,REF-12800672,2025-02-22,payment
8W94LM2SPAJI,995.75,REF-43006102,2025-12-22,deposit
FSLAIOFRHDYQ,912.48,REF-70909670,2025-06-06,invoice
Y8YJVSWFDNAQ,4.03,REF-75547080,2025-12-02,invoice
FVHLXCVTOZMM,97.9,REF-48642535,2025-09-20,payment
GPXHWNMAIU1J,700.6,REF-64115538,2025-02-28,invoice
3SNBFDHCONV8,732.49,REF-19905230,2025-10-03,withdrawal
QVNKHCGRWJ1F,321.3,REF-20033125,2025-10-21,payment
TUQ3LBKQVMOA,978.68,REF-23019058,2025-10-23,deposit
OWJNIQEKANUG,988.32,REF-20898646,2025-08-16,payment
DQVFXCVG51Q0,763.99,REF-77062872,2025-05-23,payment
C0N2UQDLOT9A,279.26,REF-99073482,2025-07-09,deposit
UM0V1WYJZZC1,284.4,REF-48981852,2025-06-19,deposit
L3AWOAIQP4RQ,796.53,REF-94962154,2025-12-29,withdrawal
HTCYD8BD5IDH,139.62,REF-68536860,2025-05-27,withdrawal
WNJRLV115MF6,363.8,REF-75988570,2026-01-15,payment
RDTO6CG9QFXQ,743.03,REF-81355492,2025-02-19,invoice
1KY2BUSTRCGS,451.18,REF-76919620,2025-02-04,deposit
B1JT7V5EQV6E,786.94,REF-88803792,2025-02-24,deposit
JJDT1FJLME3W,801.43,REF-71387684,2025-06-23,payment
OVNBIKDNYCVE,554.18,REF-00635548,2025-09-02,deposit
HM8ZSGZ3U1U9,312.49,REF-97794892,2025-04-06,payment
8AFSBGQ0W9RR,983.27,REF-75333095,2025-07-15,withdrawal
8MOQSFTX5J2G,590.36,REF-12807731,2025-05-25,invoice
NE1OCWAVSKTY,733.64,REF-49950039,2025-01-29,payment
NC6X7VFWUYTY,791.91,REF-68672599,2025-08-03,invoice
VVEWUJAG9BVG,320.82,REF-91074303,2025-04-14,invoice
V2ZDQEP0WJGX,777.22,REF-13831960,2025-05-14,withdrawal
CXO357D4QPOO,175.6,REF-33138906,2025-02-19,deposit
RKV9LT0ODERH,440.69,REF-19760718,2025-04-21,withdrawal
M1OIVVC4BHKE,303.59,REF-12115913,2025-06-26,payment
G9YA7CS0YMNJ,243.7,REF-05265718,2025-11-25,deposit
LE5VE7ISCF08,397.17,REF-41763817,2025-09-08,withdrawal
1Y70I9SGCO6M,22.88,REF-45367997,2025-05-31,payment
YN3JJSK6LQYJ,372.81,REF-33729119,2025-05-19,payment
7TCQ3R4YXJEH,572.65,REF-14391511,2026-01-13,deposit
AHISOFIAYTJX,521.47,REF-39643424,2026-01-25,deposit
IS1CCSIOXXEK,46.47,REF-58737987,2025-09-29,payment
SD3MXDEHISU9,816.44,REF-32578056,2025-12-01,payment
SK4MISQGFZVS,332.78,REF-86689094,2025-05-14,invoice
ROMF96WZ64NG,878.6,REF-97391198,2026-01-19,withdrawal
LKYF85CPHHZW,125.15,REF-08386058,2025-06-02,payment
PSDUZQSASX0N,447.16,REF-66399407,2025-05-03,payment
SFFT5JXYOIXZ,795.13,REF-21161023,2025-04-30,payment
AYTRTGMHKR6F,573.2,REF-21230010,2025-02-09,invoice
I430RDZPVMQY,569.13,REF-49762595,2025-03-29,deposit
VFL7UIVJZJDP,132.26,REF-61948303,2025-12-15,deposit
YUYQWMOF0BGS,184.41,REF-52212511,2025-12-10,withdrawal
RI4YMNEMNMJF,813.21,REF-41538027,2025-07-25,deposit
OISDUZTKMMFC,755.42,REF-62140387,2026-01-19,invoice
4AZZASHQPMBI,888.21,REF-65725360,2025-09-04,deposit
JWVWYP7FB122,352.07,REF-59527752,2025-12-19,invoice
SEFZX1Q2FVWZ,286.89,REF-22379606,2025-10-17,payment
EEXQMTSSBEWY,164.58,REF-38198477,2025-12-22,payment
ZJRVUF8OP0AM,197.49,REF-65481340,2025-03-26,deposit
LUUJBCQ0AOSS,847.32,REF-79050774,2026-01-20,withdrawal
IM9KBWYJNSZV,234.04,REF-27501249,2026-01-23,deposit
PJ4OD1JG923K,426.12,REF-18630025,2025-12-30,invoice
SEKFSKPBGSAC,133.56,REF-70524085,2025-08-16,withdrawal
HMXUDPCGLDNW,775.41,REF-90618808,2025-04-26,payment
MOWJZHZWLUBO,831.52,REF-55749925,2025-03-16,withdrawal
5EZ947JA1VHF,253.3,REF-61731383,2025-01-27,withdrawal
LNDGBZY7OQYI,761.72,REF-67832400,2025-07-07,withdrawal
2P962DEJPCNN,908.18,REF-58987119,2025-04-10,invoice
9FIWNUJMFE3X,345.42,REF-83834362,2025-08-08,withdrawal
MLEWZCTJJOI9,293.79,REF-07453594,2025-04-29,deposit
2HTTXCVWIUCQ,578.57,REF-54442945,2025-05-04,withdrawal
WEFLYSHHXS0N,511.5,REF-18105356,2025-11-13,withdrawal
5M5KCW5NEXJS,274.29,REF-11427098,2025-08-31,withdrawal
0D64IXD9SQIT,363.63,REF-46077570,2025-07-17,withdrawal
LM9VUKB5CLBG,144.25,REF-05887271,2025-06-01,withdrawal
